id,partner_id:id,code,name
freight_airplane_1,res_partner_14,EK,EK176
freight_airplane_2,res_partner_12,EG,EGY185
freight_airplane_3,res_partner_19,LH,LH888
freight_airplane_4,res_partner_5,ZY,ZY2014
freight_airplane_5,,SA,SA016/17
freight_airplane_6,res_partner_12,EG,EGY303
freight_airplane_7,res_partner_19,LH,LH078/77
freight_airplane_8,res_partner_14,EK,EK191
freight_airplane_9,res_partner_15,EY,EY710
freight_airplane_10,res_partner_6,AF,AF626
freight_airplane_11,res_partner_14,EK,EK518/519
freight_airplane_12,,TK,TK202
